"date","close","volume","open","high","low"

"2017/10/06","172.2300","12711640.0000","170.2500","172.3700","169.7500"
"2017/10/05","171.2400","14453310.0000","169.1800","171.3100","168.6000"
"2017/10/04","168.4200","11926980.0000","169.8300","170.6700","168.2900"
"2017/10/03","169.9600","8177141.0000","169.3000","170.7300","169.2000"
"2017/10/02","169.4700","13350740.0000","171.3900","171.8700","168.7500"
"2017/09/29","170.8700","15274870.0000","168.8300","171.6600","168.8100"
"2017/09/28","168.7300","12157690.0000","167.9400","169.0696","167.1600"
"2017/09/27","167.6800","19131680.0000","165.9000","168.3400","165.5700"
"2017/09/26","164.2100","23083780.0000","164.5000","165.5000","162.7800"
"2017/09/25","162.8700","41207930.0000","169.2400","169.3000","161.5600"
"2017/09/22","170.5400","12040370.0000","170.2100","171.7300","169.2200"
"2017/09/21","171.1100","11088960.0000","171.6900","172.2700","170.0100"
"2017/09/20","172.1700","12226570.0000","172.5000","173.0500","170.7000"
"2017/09/19","172.5200","13021560.0000","170.6200","172.5600","170.3600"
"2017/09/18","170.0100","12898300.0000","171.9900","172.0700","169.3400"
"2017/09/15","171.6400","15643240.0000","170.8800","172.3400","170.2600"
"2017/09/14","170.9600","15564130.0000","172.2600","172.2800","170.5000"
"2017/09/13","173.0500","9112378.0000","173.0100","173.1700","172.0600"
"2017/09/12","172.9600","11179730.0000","173.7600","174.0000","171.7500"
"2017/09/11","173.5100","12353760.0000","172.4000","173.8900","172.2000"
"2017/09/08","170.9500","10985350.0000","173.0900","173.4900","170.8000"
"2017/09/07","173.2100","18039640.0000","171.9400","173.3067","170.2700"
"2017/09/06","172.0900","13886740.0000","170.9100","172.4800","169.5700"
"2017/09/05","170.7200","13214940.0000","171.2700","172.3875","169.5500"
"2017/09/01","172.0200","11663360.0000","172.4000","172.9150","171.3100"
"2017/08/31","171.9700","17216280.0000","170.4000","172.1450","170.0600"
"2017/08/30","169.9200","11117630.0000","168.1700","170.1800","167.6300"
"2017/08/29","168.0500","11111780.0000","165.2500","168.4250","165.0000"
"2017/08/28","167.2400","8477431.0000","166.9100","167.7000","166.3300"
"2017/08/25","166.3200","12589850.0000","167.8600","168.3800","166.1800"
"2017/08/24","167.7400","14015950.0000","168.8800","169.2900","166.4100"
"2017/08/23","168.7100","9838383.0000","168.8400","169.3600","168.2000"
"2017/08/22","169.6400","11377350.0000","168.2800","169.8700","167.1500"
"2017/08/21","167.7800","11898620.0000","167.1600","168.0000","165.8200"
"2017/08/18","167.4100","15065590.0000","166.8400","168.6700","166.2100"
"2017/08/17","166.9100","17009420.0000","169.3400","169.8600","166.8500"
"2017/08/16","170.0000","15732840.0000","171.2500","171.3800","169.2400"
"2017/08/15","171.0000","8713651.0000","171.4900","171.5000","170.0100"
"2017/08/14","170.7500","12940140.0000","170.0900","171.0800","169.2900"
"2017/08/11","168.0800","13778190.0000","167.9500","168.8200","166.8500"
"2017/08/10","167.4000","20551720.0000","170.0600","170.5900","166.8500"
"2017/08/09","171.1800","10800730.0000","169.9800","171.4500","169.5600"
"2017/08/08","171.2300","14317200.0000","171.8800","173.0500","170.6200"
"2017/08/07","171.9800","12765230.0000","169.9500","172.0600","169.6600"
"2017/08/04","169.6200","10505980.0000","168.9700","170.0600","168.6900"
"2017/08/03","168.5900","10519470.0000","169.3000","169.7000","168.2500"
"2017/08/02","169.3000","17181110.0000","170.3000","170.5500","166.9100"
"2017/08/01","169.8600","14286110.0000","169.8200","170.4700","169.0500"
"2017/07/31","169.2500","25429310.0000","172.0000","172.7200","168.5500"
"2017/07/28","172.4500","24546680.0000","169.0700","173.4300","169.0500"
"2017/07/27","170.4400","68454830.0000","174.7000","175.4900","167.5000"
"2017/07/26","165.6100","32989200.0000","166.0100","166.0100","164.1000"
"2017/07/25","165.2800","15309000.0000","165.0100","165.5400","163.8619"
"2017/07/24","166.0000","17208500.0000","164.6400","166.1700","164.3100"
"2017/07/21","164.4300","14712450.0000","164.1600","165.0500","163.7500"
"2017/07/20","164.5300","18409730.0000","164.8000","165.0000","162.8100"
"2017/07/19","164.1400","26144510.0000","163.5900","165.7000","163.1700"
"2017/07/18","162.8600","23686800.0000","159.6600","163.7300","159.4200"
"2017/07/17","159.7300","12757430.0000","160.2500","160.7800","158.8100"
"2017/07/14","159.9700","16305570.0000","160.1300","160.3200","159.3254"
"2017/07/13","159.2600","13912150.0000","158.7400","159.7800","158.4227"
"2017/07/12","158.9000","22710090.0000","156.4900","159.1600","156.2000"
"2017/07/11","155.2700","13652540.0000","153.3700","155.4225","152.9100"
"2017/07/10","153.5000","13326410.0000","151.6900","153.9800","151.5100"
"2017/07/07","151.4400","13249750.0000","149.2500","151.9900","149.1900"
"2017/07/06","148.8200","14934450.0000","149.0300","150.0400","148.0000"
